=== 处理信息 ===
任务类型,回声效果
延迟(ms),200.0
衰减系数,0.35
反馈模式,开启
输入目录,output\batch_in
输出目录,output\batch_echo

=== 处理清单 ===
文件名,输入路径,输出路径,状态,处理步骤,输入RMS,输出RMS,RMS变化(dB),原主导频率(Hz),新主导频率(Hz),采样率,时长(s),声道数,输入峰值,输出峰值
tone_a.wav,D:\trae-bz\TraeProjects\8197\output\batch_in\tone_a.wav,D:\trae-bz\TraeProjects\8197\output\batch_echo\echo_200msfb_tone_a.wav,成功,回声200ms×0.35+FB,0.5014684472344134,0.6959104562702617,2.8461949973425615,100.26,100.26,22050,1.0,1,0.949951171875,1.453787461853027
tone_b.wav,D:\trae-bz\TraeProjects\8197\output\batch_in\tone_b.wav,D:\trae-bz\TraeProjects\8197\output\batch_echo\echo_200msfb_tone_b.wav,成功,回声200ms×0.35+FB,0.4999492465483641,0.693802192732595,2.8461949973425615,250.32,250.32,22050,1.0,1,0.949951171875,1.453787461853027
tone_c.wav,D:\trae-bz\TraeProjects\8197\output\batch_in\tone_c.wav,D:\trae-bz\TraeProjects\8197\output\batch_echo\echo_200msfb_tone_c.wav,成功,回声200ms×0.35+FB,0.5396447380961708,0.7488894226216438,2.846194997342563,440.08,440.08,22050,1.0,1,0.949951171875,1.453787461853027
